date,q,pre_7d_mean,evp_7d_mean,gst_mean_7d_mean,prs_mean_7d_mean,tem_mean_7d_mean,rhu_7d_mean,win_mean_7d_mean,gst_min_7d_mean,prs_min_7d_mean,tem_min_7d_mean,gst_max_7d_mean,prs_max_7d_mean,tem_max_7d_mean,ssd_7d_mean,win_max_7d_mean
2004-08-08,0.7373826742088668,1.1423764063463953,5.683564540318081,28.947228567940847,872.0150948660714,23.975809805733814,6.180760029384068,2.4974645342145645,17.275497436523434,869.8406529017858,18.532668631417412,50.35301295689174,873.45732421875,29.78304312569755,10.508918653215678,5.555282047816685
2004-08-22,0.9462120423227858,6.818653356633149,2.9160172871180947,20.87140873500279,875.0911551339286,18.313985988071984,7.878805977957589,1.7943871498107913,13.770334298270091,873.4778878348213,14.320435987200057,34.96689147949219,876.3838030133929,23.520147705078127,6.617781060082572,4.423121588570732
2006-06-18,-0.6193167305577193,0.16495982584020177,8.850333840506417,30.626058741978234,871.1814174107142,23.80236162458147,2.272143854413714,2.5792815344674245,12.367585863385882,868.1754882812501,15.51437574114118,58.82849775041852,873.1607840401787,31.598287745884488,11.682750047956192,6.030920737130301
2006-06-25,-0.6180554564933491,1.1395487553976376,5.89451435634068,26.17964237758091,874.4665457589286,21.725607299804686,4.920145034790039,2.4547694887433735,14.539864894321989,872.1850027901785,16.336578587123324,50.77446943010603,876.1153041294643,28.680860246930802,7.598105893816266,6.272621699741909
2006-08-06,3.5177570332128227,2.361646778872195,5.940895353044782,28.44294738769531,873.9336216517856,22.697466169084823,6.005817358834402,2.697209003993443,16.580033002580915,871.9809291294644,17.262893458775107,50.77850341796875,875.9218889508928,28.970345633370535,11.050500597272599,6.109614998953683
2006-08-13,2.145943677016989,1.9094489949090143,5.127219717843191,29.191794913155693,872.1631975446428,24.60665740966797,6.561412974766323,2.754281943184989,20.23097490583147,870.3533342633929,20.58385511125837,47.74844447544643,873.4952427455357,29.805923025948665,5.771076393127442,5.431485421316965
2006-08-27,2.0083375702134467,2.7972021013507478,4.33442393711635,24.57592010498047,875.8110909598214,20.18210928780692,6.362975910731724,2.151512145996094,13.270903560093474,873.9158621651786,14.674801308768135,48.02425667898995,877.4506975446428,26.755930873325894,8.777416283743722,4.887642179216657
2006-09-03,2.4508898735012217,4.385044621995517,2.3958150318690707,21.068766566685266,874.8304268973214,18.962837001255583,7.975984627859932,1.9717370986938476,15.565993826729912,873.121303013393,15.77503400530134,33.45145786830357,876.2757393973216,23.736057172502793,3.752680090495519,4.475858170645578
2006-09-24,10.042242418826882,3.3134252170056664,2.8449870109558106,17.2222898210798,879.3864257812501,15.572930472237724,7.004661396571568,3.1593211310250418,11.006227765764509,877.1599888392857,12.297705514090401,30.191131155831474,881.0941266741072,19.882721165248324,3.782421601162268,6.619187218802316
2007-06-17,-0.49982760867002,1.752676099754945,5.831802913120815,25.890391322544644,871.79658203125,21.828234209333147,4.928229795183454,3.20711738041469,15.839917646135603,869.5178152901786,17.057754952566963,45.1751211983817,873.3614955357142,27.358505249023438,5.046415563992091,6.285441861833845
2007-08-19,-0.4948488952580325,2.7139233134208572e-05,6.427909197126115,29.41886117117745,873.6229771205357,24.159358433314736,4.510272271292551,2.1655553817749023,15.580278887067522,871.5610491071428,17.703858947753908,55.284436035156254,874.9220145089286,30.66068856375559,9.882759748186384,4.927953720092773
2007-09-02,2.553880905847237,7.302695792061941,2.5792919431413925,20.806383405412948,876.5229073660714,18.511466761997763,7.859462520054409,1.7433461734226776,14.577819388253348,874.8346958705357,14.934974016462053,33.85791407993862,878.0328404017857,23.53175201416016,5.383887781415666,4.737536239624023
